REP,NCLUSTERS,NSAMPLES,NMUTS,TAU,H2,PRIOR,COV,LIK,ARI,AMI,FMI,RMSE
1,2,3,50,1,1,Flat,Exp,Bin,1.0,1.0,1.0,1.8724352269723015
1,2,3,50,1,1,Flat,Exp,BBin,1.0,1.0,1.0,1.8745603321269337
1,2,3,50,1,1,GP0,Exp,Bin,1.0,1.0,1.0,1.8465093406157524
1,2,3,50,1,1,GP0,Exp,BBin,1.0,1.0,1.0,1.8569389421668294
1,2,3,50,1,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.881700140530477
1,2,3,50,1,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.8747621578012026
1,2,3,50,1,10,Flat,Exp,Bin,1.0,1.0,1.0,2.7517223884457946
1,2,3,50,1,10,Flat,Exp,BBin,1.0,1.0,1.0,2.7372709151858645
1,2,3,50,1,10,GP0,Exp,Bin,1.0,1.0,1.0,2.727416135034902
1,2,3,50,1,10,GP0,Exp,BBin,1.0,1.0,1.0,2.7058281113442533
1,2,3,50,1,10,GP0,ExpQ,Bin,1.0,1.0,1.0,2.7408082864290186
1,2,3,50,1,10,GP0,ExpQ,BBin,1.0,1.0,1.0,2.7329945358398766
1,2,3,50,1,20,Flat,Exp,Bin,1.0,1.0,1.0,2.58535124349885
1,2,3,50,1,20,Flat,Exp,BBin,0.0,0.0,0.6998542122237652,2.3084754140371575
1,2,3,50,1,20,GP0,Exp,Bin,1.0,1.0,1.0,2.5424138596230716
1,2,3,50,1,20,GP0,Exp,BBin,0.0,0.0,0.6998542122237652,2.2719980448282993
1,2,3,50,1,20,GP0,ExpQ,Bin,1.0,1.0,1.0,2.58919894495453
1,2,3,50,1,20,GP0,ExpQ,BBin,0.0,0.0,0.6998542122237652,2.2354791994418717
1,2,3,50,10,1,Flat,Exp,Bin,0.9199936554735536,0.8756291470008518,0.9596124393041067,1.180520745487344
1,2,3,50,10,1,Flat,Exp,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,1.060911289568049
1,2,3,50,10,1,GP0,Exp,Bin,0.9199936554735536,0.8756291470008517,0.9596124393041067,1.1560835678618118
1,2,3,50,10,1,GP0,Exp,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,1.0424513666000537
1,2,3,50,10,1,GP0,ExpQ,Bin,0.9199936554735536,0.8756291470008517,0.9596124393041067,1.1703547266596142
1,2,3,50,10,1,GP0,ExpQ,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,1.0492289248011395
1,2,3,50,10,10,Flat,Exp,Bin,1.0,1.0,1.0,4.439512914696433
1,2,3,50,10,10,Flat,Exp,BBin,1.0,1.0,1.0,4.421214736294662
1,2,3,50,10,10,GP0,Exp,Bin,1.0,1.0,1.0,4.35764524131507
1,2,3,50,10,10,GP0,Exp,BBin,1.0,1.0,1.0,4.405014781750858
1,2,3,50,10,10,GP0,ExpQ,Bin,1.0,1.0,1.0,4.3086526266494865
1,2,3,50,10,10,GP0,ExpQ,BBin,1.0,1.0,1.0,4.307645613984781
1,2,3,50,10,20,Flat,Exp,Bin,0.9199791499192793,0.8761217061044059,0.9593390726967626,3.7342766918074255
1,2,3,50,10,20,Flat,Exp,BBin,0.0,0.0,0.7004371812646436,3.486674783152071
1,2,3,50,10,20,GP0,Exp,Bin,0.9199791499192793,0.876121706104406,0.9593390726967626,3.6593090285761973
1,2,3,50,10,20,GP0,Exp,BBin,0.0,0.0,0.7004371812646436,3.4389438882917394
1,2,3,50,10,20,GP0,ExpQ,Bin,0.9199791499192793,0.876121706104406,0.9593390726967626,3.6523945382252974
1,2,3,50,10,20,GP0,ExpQ,BBin,0.0,0.0,0.7004371812646436,3.087417645974842
1,2,3,50,100,1,Flat,Exp,Bin,0.919990669465827,0.8738621018531311,0.9605409731182533,1.8026359367799776
1,2,3,50,100,1,Flat,Exp,BBin,0.0,0.0,0.7142857142857143,1.607323602519737
1,2,3,50,100,1,GP0,Exp,Bin,0.919990669465827,0.8738621018531311,0.9605409731182533,1.7967045553614431
1,2,3,50,100,1,GP0,Exp,BBin,0.0,0.0,0.7142857142857143,1.5951626917125752
1,2,3,50,100,1,GP0,ExpQ,Bin,0.919990669465827,0.8738621018531311,0.9605409731182533,1.806938818607633
1,2,3,50,100,1,GP0,ExpQ,BBin,0.0,0.0,0.7142857142857143,1.545617906143144
1,2,3,50,100,10,Flat,Exp,Bin,1.0,1.0,1.0,4.9850245379200695
1,2,3,50,100,10,Flat,Exp,BBin,1.0,1.0,1.0,4.955422711216915
1,2,3,50,100,10,GP0,Exp,Bin,1.0,1.0,1.0,5.023607039132027
1,2,3,50,100,10,GP0,Exp,BBin,1.0,1.0,1.0,4.962245295993724
1,2,3,50,100,10,GP0,ExpQ,Bin,1.0,1.0,1.0,4.9466342916763395
1,2,3,50,100,10,GP0,ExpQ,BBin,1.0,1.0,1.0,4.99323697780073
1,2,3,50,100,20,Flat,Exp,Bin,1.0,1.0,1.0,3.6434504694728793
1,2,3,50,100,20,Flat,Exp,BBin,0.0,0.0,0.7004371812646436,3.2240908030310926
1,2,3,50,100,20,GP0,Exp,Bin,1.0,1.0,1.0,3.6337037024078223
1,2,3,50,100,20,GP0,Exp,BBin,0.0,0.0,0.7004371812646436,3.1497597517649427
1,2,3,50,100,20,GP0,ExpQ,Bin,1.0,1.0,1.0,3.6109860795604676
1,2,3,50,100,20,GP0,ExpQ,BBin,0.0,0.0,0.7004371812646436,3.105449652852461
1,2,3,100,1,1,Flat,Exp,Bin,1.0,1.0,1.0,2.1411368070702985
1,2,3,100,1,1,Flat,Exp,BBin,1.0,1.0,1.0,2.1445275437689912
1,2,3,100,1,1,GP0,Exp,Bin,1.0,1.0,1.0,2.146233986213669
1,2,3,100,1,1,GP0,Exp,BBin,1.0,1.0,1.0,2.1273962516318674
1,2,3,100,1,1,GP0,ExpQ,Bin,1.0,1.0,1.0,2.135926461752009
1,2,3,100,1,1,GP0,ExpQ,BBin,1.0,1.0,1.0,2.1631832753752214
1,2,3,100,1,10,Flat,Exp,Bin,0.9304709081100451,0.9086269321927491,0.9643924859822962,7.807901574944579
1,2,3,100,1,10,Flat,Exp,BBin,1.0,1.0,1.0,7.740556070959381
1,2,3,100,1,10,GP0,Exp,Bin,1.0,1.0,1.0,7.967919868268871
1,2,3,100,1,10,GP0,Exp,BBin,1.0,1.0,1.0,7.9709726409685615
1,2,3,100,1,10,GP0,ExpQ,Bin,1.0,1.0,1.0,7.974158716694546
1,2,3,100,1,10,GP0,ExpQ,BBin,1.0,1.0,1.0,7.919821331958421
1,2,3,100,1,20,Flat,Exp,Bin,0.6364571092831962,0.5709544315459177,0.8202948539070991,1.7292716356529576
1,2,3,100,1,20,Flat,Exp,BBin,0.6365119243670657,0.6140721949075796,0.8220277656904923,1.7406628953018792
1,2,3,100,1,20,GP0,Exp,Bin,0.6364571092831962,0.5709544315459177,0.8202948539070991,1.7358904608023251
1,2,3,100,1,20,GP0,Exp,BBin,0.6365119243670657,0.6140721949075796,0.8220277656904923,1.7276819009931412
1,2,3,100,1,20,GP0,ExpQ,Bin,0.6691544249601056,0.5976156682979127,0.83580683463309,1.7062700568171327
1,2,3,100,1,20,GP0,ExpQ,BBin,0.6045745826167036,0.5457201962305559,0.8053924707244249,1.7163830182712336
1,2,3,100,10,1,Flat,Exp,Bin,0.8448484848484848,0.7622497409808713,0.92217752809045,0.9424704585711836
1,2,3,100,10,1,Flat,Exp,BBin,0.8448484848484848,0.7544364224835781,0.9224242424242424,0.9292299498241957
1,2,3,100,10,1,GP0,Exp,Bin,0.8448484848484848,0.7622497409808714,0.92217752809045,0.9303833943937269
1,2,3,100,10,1,GP0,Exp,BBin,0.8080808080808081,0.7238607680567429,0.9036397696745365,0.9282262023976225
1,2,3,100,10,1,GP0,ExpQ,Bin,0.8448484848484848,0.7622497409808713,0.92217752809045,0.9259279562620372
1,2,3,100,10,1,GP0,ExpQ,BBin,0.8080808080808081,0.7114686521449223,0.9038671136921633,0.9312540303123521
1,2,3,100,10,10,Flat,Exp,Bin,1.0,1.0,1.0,3.5700570304390356
1,2,3,100,10,10,Flat,Exp,BBin,1.0,1.0,1.0,3.5633560241730056
1,2,3,100,10,10,GP0,Exp,Bin,1.0,1.0,1.0,3.541610014630778
1,2,3,100,10,10,GP0,Exp,BBin,1.0,1.0,1.0,3.5507333328321664
1,2,3,100,10,10,GP0,ExpQ,Bin,1.0,1.0,1.0,3.5156494512733185
1,2,3,100,10,10,GP0,ExpQ,BBin,1.0,1.0,1.0,3.552236071289678
1,2,3,100,10,20,Flat,Exp,Bin,1.0,1.0,1.0,5.348391146458168
1,2,3,100,10,20,Flat,Exp,BBin,1.0,1.0,1.0,5.295903113312841
1,2,3,100,10,20,GP0,Exp,Bin,1.0,1.0,1.0,5.25405214415683
1,2,3,100,10,20,GP0,Exp,BBin,1.0,1.0,1.0,5.242087483046107
1,2,3,100,10,20,GP0,ExpQ,Bin,1.0,1.0,1.0,5.228033390380494
1,2,3,100,10,20,GP0,ExpQ,BBin,1.0,1.0,1.0,5.239414259457318
1,2,3,100,100,1,Flat,Exp,Bin,0.9599990596656818,0.928387062819189,0.9798994669297973,1.1437027954803742
1,2,3,100,100,1,Flat,Exp,BBin,0.9599990596656818,0.928387062819189,0.9798994669297973,1.135403440896675
1,2,3,100,100,1,GP0,Exp,Bin,0.9599990596656818,0.928387062819189,0.9798994669297973,1.1361014860229508
1,2,3,100,100,1,GP0,Exp,BBin,0.9599990596656818,0.928387062819189,0.9798994669297973,1.1518941987847975
1,2,3,100,100,1,GP0,ExpQ,Bin,0.9599990596656818,0.928387062819189,0.9798994669297973,1.1366087775933131
1,2,3,100,100,1,GP0,ExpQ,BBin,0.9599990596656818,0.928387062819189,0.9798994669297973,1.1348213002521332
1,2,3,100,100,10,Flat,Exp,Bin,1.0,1.0,1.0,2.9112310249039246
1,2,3,100,100,10,Flat,Exp,BBin,1.0,1.0,1.0,2.9135759898910774
1,2,3,100,100,10,GP0,Exp,Bin,1.0,1.0,1.0,2.914203210788722
1,2,3,100,100,10,GP0,Exp,BBin,1.0,1.0,1.0,2.902424806745351
1,2,3,100,100,10,GP0,ExpQ,Bin,1.0,1.0,1.0,2.9218257288921956
1,2,3,100,100,10,GP0,ExpQ,BBin,0.0,5.721221854363007e-15,0.7150616276329833,2.741754364470136
1,2,3,100,100,20,Flat,Exp,Bin,1.0,1.0,1.0,5.613213288623269
1,2,3,100,100,20,Flat,Exp,BBin,1.0,1.0,1.0,5.590339839628828
1,2,3,100,100,20,GP0,Exp,Bin,1.0,1.0,1.0,5.570513789752834
1,2,3,100,100,20,GP0,Exp,BBin,1.0,1.0,1.0,5.519124342296055
