REP,NCLUSTERS,NSAMPLES,NMUTS,TAU,H2,PRIOR,COV,LIK,ARI,AMI,FMI,RMSE
1,2,3,50,1,1,GP0,ExpQ,Bin,1.0,1.0,1.0,0.7719406709754477
1,2,3,50,1,1,GP0,ExpQ,BBin,1.0,1.0,1.0,0.779345984229105
1,2,3,50,1,10,Flat,Exp,Bin,1.0,1.0,1.0,3.135358607869498
1,2,3,50,1,10,Flat,Exp,BBin,1.0,1.0,1.0,3.139981339070627
1,2,3,50,1,10,GP0,Exp,Bin,1.0,1.0,1.0,3.1405360895037626
1,2,3,50,1,10,GP0,Exp,BBin,1.0,1.0,1.0,3.1430817688445196
1,2,3,50,1,10,GP0,ExpQ,Bin,1.0,1.0,1.0,3.143522319570483
1,2,3,50,1,10,GP0,ExpQ,BBin,1.0,1.0,1.0,3.1418767137848818
1,2,3,50,1,20,Flat,Exp,Bin,1.0,1.0,1.0,4.519345394373054
1,2,3,50,1,20,Flat,Exp,BBin,0.0,0.0,0.7142857142857143,4.2824489524697515
1,2,3,50,1,20,GP0,Exp,Bin,1.0,1.0,1.0,4.512908389387436
1,2,3,50,1,20,GP0,Exp,BBin,1.0,1.0,1.0,4.519097303292038
1,2,3,50,1,20,GP0,ExpQ,Bin,1.0,1.0,1.0,4.52022597597
1,2,3,50,1,20,GP0,ExpQ,BBin,1.0,1.0,1.0,4.516618925565658
1,2,3,50,10,1,Flat,Exp,Bin,1.0,1.0,1.0,1.5647428211287977
1,2,3,50,10,1,Flat,Exp,BBin,1.0,1.0,1.0,1.5669230788276072
1,2,3,50,10,1,GP0,Exp,Bin,1.0,1.0,1.0,1.5649407617456506
1,2,3,50,10,1,GP0,Exp,BBin,1.0,1.0,1.0,1.568825169715983
1,2,3,50,10,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.5676162589564726
1,2,3,50,10,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.5616558472500592
1,2,3,50,10,10,Flat,Exp,Bin,1.0,1.0,1.0,2.6277217816060894
1,2,3,50,10,10,Flat,Exp,BBin,1.0,1.0,1.0,2.6265127759223135
1,2,3,50,10,10,GP0,Exp,Bin,1.0,1.0,1.0,2.63048428266639
