PRIOR,COV,LIK,METRIC,MEDIAN,LOW,HIGH
Flat,Exp,Bin,LPPD,-2857.980588792511,-2985.5244529895504,-2731.8709384201516
Flat,Exp,Bin,LOSS,9353.548409003,9346.073574643238,9361.631822336718
Flat,Exp,Bin,LOO,18769.846196705705,10804.140706450911,26735.551686960498
Flat,Exp,Bin,WAIC,19512.574088755828,11071.813211517061,27953.334965994596
Flat,Exp,Bin,SLH,0.5245952892095948,0.0,0.0
Flat,Exp,Bin,CHS,52.07033466582232,0.0,0.0
Flat,Exp,Bin,DBS,0.908399565835612,0.0,0.0
Flat,Exp,BBin,LPPD,1313.2997337231845,1292.419922947502,1324.5677906126416
Flat,Exp,BBin,LOSS,2969.2577697924585,2962.674687248894,2976.120249994929
Flat,Exp,BBin,LOO,5717.265294951056,5255.058663762503,6179.4719261396085
Flat,Exp,BBin,WAIC,5716.759720988604,5254.157464933077,6179.361977044132
Flat,Exp,BBin,SLH,0.43444622797975296,0.0,0.0
Flat,Exp,BBin,CHS,34.00099755689502,0.0,0.0
Flat,Exp,BBin,DBS,0.8930438410114486,0.0,0.0
GP0,Exp,Bin,LPPD,-2634.393873599473,-2776.4172230543304,-2519.6115609090457
GP0,Exp,Bin,LOSS,6113.127838665616,6076.142000201684,6182.657886777507
GP0,Exp,Bin,LOO,12305.536602316599,8826.708219626697,15784.364985006501
GP0,Exp,Bin,WAIC,14609.327377419566,9821.47668098706,19397.178073852072
GP0,Exp,Bin,SLH,0.39586408874578266,0.0,0.0
GP0,Exp,Bin,CHS,34.6903186341699,0.0,0.0
GP0,Exp,Bin,DBS,1.1183362208307648,0.0,0.0
GP0,Exp,BBin,LPPD,1314.381491930838,1288.2138160732954,1327.6960368379935
GP0,Exp,BBin,LOSS,2993.9229278300927,2982.006268201529,3022.9045216464638
GP0,Exp,BBin,LOO,5765.358324628489,5302.764553329007,6227.952095927971
GP0,Exp,BBin,WAIC,5762.932228586899,5300.046778228742,6225.817678945056
GP0,Exp,BBin,SLH,0.43444622797975296,0.0,0.0
GP0,Exp,BBin,CHS,34.00099755689502,0.0,0.0
GP0,Exp,BBin,DBS,0.8930438410114486,0.0,0.0
GP0,Mat32,Bin,LPPD,-1282.6068634319213,-1447.8934929419047,-1141.4390526195634
GP0,Mat32,Bin,LOSS,5934.464530247459,5895.597948796383,5999.290179934066
GP0,Mat32,Bin,LOO,11509.546576374883,8260.349144666423,14758.744008083344
GP0,Mat32,Bin,WAIC,12387.792742470088,8926.890665458708,15848.694819481469
GP0,Mat32,Bin,SLH,0.4836340347247531,0.0,0.0
GP0,Mat32,Bin,CHS,39.45093871046855,0.0,0.0
GP0,Mat32,Bin,DBS,1.0895163899855493,0.0,0.0
GP0,Mat32,BBin,LPPD,1311.5405609940194,1285.6053239339635,1326.0598467379543
GP0,Mat32,BBin,LOSS,3002.313515394959,2988.5276906023814,3030.4375579067623
GP0,Mat32,BBin,LOO,5684.3123783992405,5240.141945462948,6128.482811335533
GP0,Mat32,BBin,WAIC,5674.67228244296,5231.307963582839,6118.036601303081
GP0,Mat32,BBin,SLH,0.5060215280046565,0.0,0.0
GP0,Mat32,BBin,CHS,48.263603021173914,0.0,0.0
GP0,Mat32,BBin,DBS,0.7227388747059376,0.0,0.0
GP0,Mat52,Bin,LPPD,-1498.9729471262167,-1576.1777620986295,-1437.375393706936
GP0,Mat52,Bin,LOSS,8038.742920578272,8003.463425437266,8098.650570344284
GP0,Mat52,Bin,LOO,15978.024688605386,8863.562612323265,23092.486764887508
GP0,Mat52,Bin,WAIC,17585.6149734951,9621.087735776771,25550.142211213428
GP0,Mat52,Bin,SLH,0.5001409812866007,0.0,0.0
GP0,Mat52,Bin,CHS,38.92507163215451,0.0,0.0
GP0,Mat52,Bin,DBS,1.0848590496434933,0.0,0.0
GP0,Mat52,BBin,LPPD,1285.6099278007487,1262.1300668162787,1299.8847607484406
GP0,Mat52,BBin,LOSS,3031.2183224978844,3017.7753413448627,3058.4106911064478
GP0,Mat52,BBin,LOO,5756.08055414322,5299.925352994906,6212.235755291535
GP0,Mat52,BBin,WAIC,5740.282066047742,5287.974330488056,6192.589801607428
GP0,Mat52,BBin,SLH,0.5060215280046565,0.0,0.0
GP0,Mat52,BBin,CHS,48.263603021173914,0.0,0.0
GP0,Mat52,BBin,DBS,0.7227388747059376,0.0,0.0
GP0,ExpQ,Bin,LPPD,-1209.6956951934187,-1293.0099742086586,-1134.0719690686205
GP0,ExpQ,Bin,LOSS,14711.424838515397,14350.067431975398,15145.417229280694
GP0,ExpQ,Bin,LOO,27832.169409044443,19358.026532748205,36306.31228534068
GP0,ExpQ,Bin,WAIC,30083.829806110964,21091.035507278695,39076.62410494323
GP0,ExpQ,Bin,SLH,0.3722608416627331,0.0,0.0
GP0,ExpQ,Bin,CHS,29.401756703918355,0.0,0.0
GP0,ExpQ,Bin,DBS,1.0994493287601308,0.0,0.0
GP0,ExpQ,BBin,LPPD,1225.314773348657,1202.3634850892354,1236.6583891555308
GP0,ExpQ,BBin,LOSS,3065.9177753958047,3054.1485630660736,3089.7319848671955
GP0,ExpQ,BBin,LOO,5879.390228367958,5395.772323231261,6363.008133504655
GP0,ExpQ,BBin,WAIC,5870.172717696286,5388.139032151336,6352.206403241235
GP0,ExpQ,BBin,SLH,0.5060215280046565,0.0,0.0
GP0,ExpQ,BBin,CHS,48.263603021173914,0.0,0.0
GP0,ExpQ,BBin,DBS,0.7227388747059376,0.0,0.0
GP1,Exp,Bin,LPPD,-1078.0349570041526,-1161.7402945429212,-1007.9888955129782
GP1,Exp,Bin,LOSS,6485.058329082103,6453.277287836684,6544.928549264875
GP1,Exp,Bin,LOO,13280.98239108068,9783.266883007498,16778.697899153864
GP1,Exp,Bin,WAIC,16364.167760247756,11220.284334626363,21508.051185869146
GP1,Exp,Bin,SLH,0.44241309142215346,0.0,0.0
GP1,Exp,Bin,CHS,39.1025825347335,0.0,0.0
GP1,Exp,Bin,DBS,1.0753248248556868,0.0,0.0
