PRIOR,COV,LIK,METRIC,MEDIAN,LOW,HIGH
Flat,Exp,Bin,LPPD,117.04272274563536,99.71448348904306,124.37132870353102
Flat,Exp,Bin,LOSS,376.20604941863985,371.9379613214484,381.06894301926275
Flat,Exp,Bin,LOO,661.5912393316856,582.766717986571,740.4157606768002
Flat,Exp,Bin,WAIC,660.8383288468299,582.2018195243919,739.4748381692679
Flat,Exp,Bin,SLH,0.6358019956125448,0.0,0.0
Flat,Exp,Bin,CHS,54.511132804286724,0.0,0.0
Flat,Exp,Bin,DBS,0.5484849143884916,0.0,0.0
Flat,Exp,BBin,LPPD,85.79928166229013,74.24305812159413,91.07290007463222
Flat,Exp,BBin,LOSS,411.08879739090037,407.14995404668696,415.20729414036856
Flat,Exp,BBin,LOO,767.3573448389359,701.4402795869642,833.2744100909076
Flat,Exp,BBin,WAIC,766.9129217021832,701.0933426275517,832.7325007768147
Flat,Exp,BBin,SLH,0.5125890534877844,0.0,0.0
Flat,Exp,BBin,CHS,28.224761973918284,0.0,0.0
Flat,Exp,BBin,DBS,0.6669607088802645,0.0,0.0
GP0,Exp,Bin,LPPD,114.98945433498932,93.75279557706835,124.64360008329601
GP0,Exp,Bin,LOSS,380.8991557528505,374.2818955728733,390.42429658881593
GP0,Exp,Bin,LOO,675.1651800152521,592.9816245487795,757.3487354817247
GP0,Exp,Bin,WAIC,672.4003927832676,591.0268566560298,753.7739289105054
GP0,Exp,Bin,SLH,0.6358019956125448,0.0,0.0
GP0,Exp,Bin,CHS,54.511132804286724,0.0,0.0
GP0,Exp,Bin,DBS,0.5484849143884916,0.0,0.0
GP0,Exp,BBin,LPPD,117.79308220583397,105.38457464532664,124.43092455991955
GP0,Exp,BBin,LOSS,374.9132635281269,369.0555419392515,383.78680404317174
GP0,Exp,BBin,LOO,666.2445001277052,596.7976424604137,735.6913577949967
GP0,Exp,BBin,WAIC,662.3682679965627,593.9211633131297,730.8153726799958
GP0,Exp,BBin,SLH,0.6358019956125448,0.0,0.0
GP0,Exp,BBin,CHS,54.511132804286724,0.0,0.0
GP0,Exp,BBin,DBS,0.5484849143884915,0.0,0.0
GP0,Mat32,Bin,LPPD,118.82282822707538,102.3871181939214,125.04912557189817
GP0,Mat32,Bin,LOSS,385.0532488880141,378.47151001895776,394.42785257992983
GP0,Mat32,Bin,LOO,683.133496081444,600.5288086215025,765.7381835413855
GP0,Mat32,Bin,WAIC,677.6799259263248,596.6505974446372,758.7092544080124
GP0,Mat32,Bin,SLH,0.6358019956125448,0.0,0.0
GP0,Mat32,Bin,CHS,54.511132804286724,0.0,0.0
GP0,Mat32,Bin,DBS,0.5484849143884916,0.0,0.0
GP0,Mat32,BBin,LPPD,116.53531072920003,103.68115064274951,123.59160947968448
GP0,Mat32,BBin,LOSS,379.6990364826057,373.79635058652036,388.75564323421474
GP0,Mat32,BBin,LOO,667.5976339906099,596.9100408120703,738.2852271691495
GP0,Mat32,BBin,WAIC,663.955619877429,594.059793786421,733.8514459684369
GP0,Mat32,BBin,SLH,0.6358019956125448,0.0,0.0
GP0,Mat32,BBin,CHS,54.511132804286724,0.0,0.0
GP0,Mat32,BBin,DBS,0.5484849143884916,0.0,0.0
GP0,Mat52,Bin,LPPD,118.32613418910489,102.16592801919145,125.19393379207762
GP0,Mat52,Bin,LOSS,371.9210574585727,366.01937882008093,380.46268855251026
GP0,Mat52,Bin,LOO,669.2930627450248,586.7682063359255,751.8179191541242
GP0,Mat52,Bin,WAIC,665.1855504252825,584.1800632728557,746.1910375777093
GP0,Mat52,Bin,SLH,0.6358019956125448,0.0,0.0
GP0,Mat52,Bin,CHS,54.511132804286724,0.0,0.0
GP0,Mat52,Bin,DBS,0.5484849143884916,0.0,0.0
GP0,Mat52,BBin,LPPD,118.19199925445488,107.32175782498896,124.26584504919825
GP0,Mat52,BBin,LOSS,378.4654487099081,372.80822985047394,387.4086693129924
GP0,Mat52,BBin,LOO,664.4234634778489,594.4827337977483,734.3641931579496
GP0,Mat52,BBin,WAIC,661.6346797434722,591.9191897583337,731.3501697286108
GP0,Mat52,BBin,SLH,0.6358019956125448,0.0,0.0
GP0,Mat52,BBin,CHS,54.511132804286724,0.0,0.0
GP0,Mat52,BBin,DBS,0.5484849143884915,0.0,0.0
GP0,ExpQ,Bin,LPPD,119.72524245737968,106.39521242639994,125.27397950274612
GP0,ExpQ,Bin,LOSS,374.781130644319,368.9929266876657,383.08856638145926
GP0,ExpQ,Bin,LOO,667.2529635003569,584.770903391013,749.7350236097009
GP0,ExpQ,Bin,WAIC,664.6184328015298,583.0026566587152,746.2342089443445
GP0,ExpQ,Bin,SLH,0.6358019956125448,0.0,0.0
GP0,ExpQ,Bin,CHS,54.511132804286724,0.0,0.0
GP0,ExpQ,Bin,DBS,0.5484849143884916,0.0,0.0
GP0,ExpQ,BBin,LPPD,114.50707291812932,100.91866029945736,121.37738530970475
GP0,ExpQ,BBin,LOSS,380.4710090983043,374.9184454376967,388.4488106497322
GP0,ExpQ,BBin,LOO,678.4634928095,607.9982681359513,748.9287174830488
GP0,ExpQ,BBin,WAIC,673.3963509178164,604.1441657463647,742.6485360892682
GP0,ExpQ,BBin,SLH,0.6358019956125448,0.0,0.0
GP0,ExpQ,BBin,CHS,54.511132804286724,0.0,0.0
GP0,ExpQ,BBin,DBS,0.5484849143884915,0.0,0.0
GP1,Exp,Bin,LPPD,119.46309316210254,107.62501546955669,124.99679439702051
GP1,Exp,Bin,LOSS,374.8611988796233,368.03955208576673,385.05190560337866
GP1,Exp,Bin,LOO,665.0645440629083,585.9140372932209,744.2150508325958
GP1,Exp,Bin,WAIC,662.1795049400341,584.3500712984059,740.0089385816624
GP1,Exp,Bin,SLH,0.6358019956125448,0.0,0.0
GP1,Exp,Bin,CHS,54.511132804286724,0.0,0.0
GP1,Exp,Bin,DBS,0.5484849143884915,0.0,0.0
GP1,Exp,BBin,LPPD,81.96943281681115,67.1618427569649,89.32898139144694
GP1,Exp,BBin,LOSS,419.9773898357569,413.4765984054602,430.21059650044003
GP1,Exp,BBin,LOO,780.9962499054598,714.3011540623722,847.6913457485473
GP1,Exp,BBin,WAIC,779.9676320055507,713.3393006934634,846.595963317638
GP1,Exp,BBin,SLH,0.5125890534877844,0.0,0.0
GP1,Exp,BBin,CHS,28.224761973918284,0.0,0.0
GP1,Exp,BBin,DBS,0.6669607088802645,0.0,0.0
GP1,Mat32,Bin,LPPD,117.20375104670715,101.24416856836298,124.40052150487068
GP1,Mat32,Bin,LOSS,382.91716272282633,376.0560948100215,392.9402666940887
GP1,Mat32,Bin,LOO,675.1634625829388,596.7844590593645,753.5424661065131
GP1,Mat32,Bin,WAIC,672.3628606677137,594.9827099734027,749.7430113620246
GP1,Mat32,Bin,SLH,0.6358019956125448,0.0,0.0
GP1,Mat32,Bin,CHS,54.511132804286724,0.0,0.0
GP1,Mat32,Bin,DBS,0.5484849143884915,0.0,0.0
GP1,Mat32,BBin,LPPD,114.78229426028457,100.45843523161483,122.80714596385603
GP1,Mat32,BBin,LOSS,386.48011736359797,379.66007220061175,396.96659829436055
GP1,Mat32,BBin,LOO,679.0602534574386,607.0172508935472,751.1032560213301
GP1,Mat32,BBin,WAIC,675.701904671163,604.4681096295518,746.9356997127742
GP1,Mat32,BBin,SLH,0.6358019956125448,0.0,0.0
